OBJECTID,WatershedID,ReachCode,predicted_capacity,dam_density,percent_capacity,Shape_Length
53,1807030203,33400,2.34,0,0,0.001085013
54,1807030203,33400,1.69,0,0,0.000844405
55,1807030203,33400,0.61,0,0,0.00312974
56,1807030203,33400,0.65,0,0,0.001087643
57,1807030203,33400,0.65,0,0,0.000820555
58,1807030203,33400,3.59,0,0,0.003159014
59,1807030203,33400,3.6,0,0,0.00101997
60,1807030203,33400,0.64,0,0,0.000588912
61,1807030203,33400,0.64,0,0,0.000826023
62,1807030203,33400,0.63,0,0,0.001131131
63,1807030203,33400,0.6,0,0,1.9625E-05
64,1807030203,33400,1.41,0,0,1.619E-05
65,1807030203,33400,0.64,0,0,0.001108424
66,1807030203,33400,0.64,0,0,0.001871551
67,1807030203,33400,0.65,0,0,0.000277916
68,1807030203,33400,0.63,0,0,0.000697323
69,1807030203,33400,2.65,0,0,0.002742962
70,1807030203,33400,3.27,0,0,0.000624125
71,1807030203,33400,3.62,0,0,0.001037386
72,1807030203,33400,0.6,0,0,0.000359339
73,1807030203,33400,0.6,0,0,0.000831753
74,1807030203,33400,0.62,0,0,0.000654776
75,1807030203,33400,0.59,0,0,0.002772333
76,1807030203,33400,0.61,0,0,0.001116121
77,1807030203,33400,5.41,0,0,0.002759562
78,1807030203,33400,3.62,0,0,0.000547736
79,1807030203,33400,2.51,0,0,0.002600353
80,1807030203,33400,1.45,0,0,0.000170618
81,1807030203,33400,0.62,0,0,0.000372088
82,1807030203,33400,0.64,0,0,0.000216444
83,1807030203,33400,0.6,0,0,0.002708948
84,1807030203,33400,0.64,0,0,0.000450145
85,1807030203,33400,0.64,0,0,0.000500834
86,1807030203,33400,1.78,0,0,0.00315195
87,1807030203,33400,1.15,0,0,0.000823328
88,1807030203,33603,3.04,0,0,0.002536489
89,1807030203,33603,3.62,0,0,0.003093811
90,1807030203,33603,9.76,0,0,0.003145751
91,1807030203,33603,9.05,0,0,0.000893855
92,1807030203,33603,8.51,0,0,0.003017927
93,1807030203,33603,3.62,0,0,0.001421001
94,1807030203,33603,3.62,0,0,0.00290502
95,1807030203,33603,3.62,0,0,0.002854198
96,1807030203,33603,3.62,0,0,0.002917537
97,1807030203,33603,3.62,0,0,0.002008215
98,1807030203,33603,0.6,0,0,0.000304043
99,1807030203,33603,0.6,0,0,5.74477E-05
100,1807030203,46007,3.43,0,0,0.000388471
101,1807030203,46007,3.62,0,0,0.001123658
102,1807030203,46007,0,0,,0.001023888
103,1807030203,46007,0.57,0,0,0.001394741
104,1807030203,46007,3.37,0,0,0.003009114
105,1807030203,46007,10.23,0,0,0.000477138
106,1807030203,46007,0,0,,0.000259214
107,1807030203,46007,0,0,,0.001762041
108,1807030203,46007,2.15,0,0,0.000249121
109,1807030203,46007,0.58,0,0,0.00172148
110,1807030203,46007,2.65,0,0,0.00143646
111,1807030203,46007,1.78,0,0,0.002751637
112,1807030203,46007,3.35,0,0,0.000896933
113,1807030203,46007,3.32,0,0,0.000338819
114,1807030203,46007,3.56,0,0,0.003156088
115,1807030203,46007,3.08,0,0,0.003207054
116,1807030203,46007,2.65,0,0,0.000536482
117,1807030203,46007,1.3,0,0,0.003212142
118,1807030203,46007,3.62,0,0,0.001571989
119,1807030203,46007,0.57,0,0,0.002132053
120,1807030203,46007,0,0,,0.00083834
121,1807030203,46007,1.28,0,0,0.00227251
122,1807030203,46007,0.58,0,0,0.002953296
123,1807030203,46007,2.34,0,0,0.002269513
124,1807030203,46007,0.57,0,0,0.00212408
125,1807030203,46007,3.4,0,0,0.000555203
126,1807030203,46007,0.57,0,0,0.001705134
127,1807030203,46007,0.57,0,0,0.001708872
128,1807030203,46007,3.62,0,0,0.000753274
129,1807030203,46007,3.57,0,0,0.002597194
130,1807030203,46007,0.57,0,0,0.00082793
131,1807030203,46007,3.35,0,0,0.000384414
132,1807030203,46007,2.04,0,0,0.001191696
133,1807030203,46007,0.58,0,0,0.001496745
134,1807030203,46007,3.62,0,0,0.000397832
135,1807030203,46007,3.43,0,0,0.000571666
136,1807030203,46007,3.57,0,0,0.000560417
137,1807030203,46007,0,0,,0.002206254
138,1807030203,46007,3.39,0,0,0.00319604
139,1807030203,46007,3.47,0,0,0.001597116
140,1807030203,46007,0,0,,0.001469272
141,1807030203,46007,0,0,,0.001150591
142,1807030203,46007,0.59,0,0,0.000609413
143,1807030203,46007,3.42,0,0,0.0012385
144,1807030203,46007,0,0,,0.00113805
145,1807030203,46007,2.71,0,0,0.001029353
146,1807030203,46007,0.57,0,0,0.000452325
147,1807030203,46007,0.57,0,0,0.001756509
